1,'John','Doe','johndoe',"'{""email"": ""john@example.com"", ""phone"": ""+1234567890""}'",1,'password_hash_1',"'{""twitter"": ""https://twitter.com/johndoe"", ""linkedin"": ""https://www.linkedin.com/in/johndoe""}'",'https://example.com/avatar1.png',"'Lorem ipsum dolor sit amet, consectetur adipiscing elit.'",'https://johndoe.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": false}'",1,'2024-03-01 08:00:00',true,1
2,'Jane','Smith','janesmith',"'{""email"": ""jane@example.com"", ""phone"": ""+1987654321""}'",1,'password_hash_2',"'{""facebook"": ""https://www.facebook.com/janesmith"", ""instagram"": ""https://www.instagram.com/janesmith""}'",'https://example.com/avatar2.png','Sed ut perspiciatis unde omnis iste natus error sit voluptatem.','https://janesmith.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": true}'",2,'2024-03-02 09:00:00',true,2
3,'Michael','Johnson','michaelj',"'{""email"": ""michael@example.com"", ""phone"": ""+1122334455""}'",2,'password_hash_3',"'{""twitter"": ""https://twitter.com/michaelj"", ""linkedin"": ""https://www.linkedin.com/in/michaeljohnson""}'",'https://example.com/avatar3.png','But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born.','https://michaeljohnson.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": false, ""sms"": true}'",3,'2024-03-03 10:00:00',true,3
4,'Emily','Brown','emilyb',"'{""email"": ""emily@example.com"", ""phone"": ""+3322115544""}'",1,'password_hash_4',"'{""facebook"": ""https://www.facebook.com/emilybrown"", ""instagram"": ""https://www.instagram.com/emilybrown""}'",'https://example.com/avatar4.png','At vero eos et accusamus et iusto odio dignissimos ducimus.','https://emilybrown.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": false}'",1,'2024-03-04 11:00:00',true,4
5,'David','Williams','davidw',"'{""email"": ""david@example.com"", ""phone"": ""+4455667788""}'",3,'password_hash_5',"'{""twitter"": ""https://twitter.com/davidw"", ""linkedin"": ""https://www.linkedin.com/in/davidwilliams""}'",'https://example.com/avatar5.png',"'Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus.'",'https://davidwilliams.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": true}'",2,'2024-03-05 12:00:00',true,5
6,'Emma','Jones','emmaj',"'{""email"": ""emma@example.com"", ""phone"": ""+9988776655""}'",1,'password_hash_6',"'{""facebook"": ""https://www.facebook.com/emmajones"", ""instagram"": ""https://www.instagram.com/emmajones""}'",'https://example.com/avatar6.png','Et harum quidem rerum facilis est et expedita distinctio.','https://emmajones.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": false, ""sms"": true}'",3,'2024-03-06 13:00:00',true,6
7,'Matthew','Taylor','matthewt',"'{""email"": ""matthew@example.com"", ""phone"": ""+1122334455""}'",2,'password_hash_7',"'{""twitter"": ""https://twitter.com/matthewt"", ""linkedin"": ""https://www.linkedin.com/in/matthewtaylor""}'",'https://example.com/avatar7.png','Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet.','https://matthewtaylor.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": false}'",1,'2024-03-07 14:00:00',true,7
8,'Olivia','Miller','oliviam',"'{""email"": ""olivia@example.com"", ""phone"": ""+2233445566""}'",1,'password_hash_8',"'{""facebook"": ""https://www.facebook.com/oliviamiller"", ""instagram"": ""https://www.instagram.com/oliviamiller""}'",'https://example.com/avatar8.png','Itaque earum rerum hic tenetur a sapiente delectus.','https://oliviamiller.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": true}'",2,'2024-03-08 15:00:00',true,8
9,'Daniel','Anderson','danield',"'{""email"": ""daniel@example.com"", ""phone"": ""+3344556677""}'",3,'password_hash_9',"'{""twitter"": ""https://twitter.com/danield"", ""linkedin"": ""https://www.linkedin.com/in/danielanderson""}'",'https://example.com/avatar9.png','Ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis doloribus asperiores repellat.','https://danielanderson.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": false, ""sms"": true}'",3,'2024-03-09 16:00:00',true,9
10,'Sophia','Wilson','sophiaw',"'{""email"": ""sophia@example.com"", ""phone"": ""+5566778899""}'",1,'password_hash_10',"'{""facebook"": ""https://www.facebook.com/sophiawilson"", ""instagram"": ""https://www.instagram.com/sophiawilson""}'",'https://example.com/avatar10.png','Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur.','https://sophiawilson.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": false}'",1,'2024-03-10 17:00:00',true,10
11,'James','Martinez','jamesm',"'{""email"": ""james@example.com"", ""phone"": ""+9988776655""}'",2,'password_hash_11',"'{""twitter"": ""https://twitter.com/jamesm"", ""linkedin"": ""https://www.linkedin.com/in/jamesmartinez""}'",'https://example.com/avatar11.png',"'Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit.'",'https://jamesmartinez.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": true}'",2,'2024-03-11 18:00:00',true,11
12,'Isabella','Hernandez','isabellah',"'{""email"": ""isabella@example.com"", ""phone"": ""+2233445566""}'",3,'password_hash_12',"'{""facebook"": ""https://www.facebook.com/isabellahernandez"", ""instagram"": ""https://www.instagram.com/isabellahernandez""}'",'https://example.com/avatar12.png','At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident.','https://isabellahernandez.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": false, ""sms"": true}'",3,'2024-03-12 19:00:00',true,12
13,'Alexander','Garcia','alexanderg',"'{""email"": ""alexander@example.com"", ""phone"": ""+3344556677""}'",1,'password_hash_13',"'{""twitter"": ""https://twitter.com/alexanderg"", ""linkedin"": ""https://www.linkedin.com/in/alexandergarcia""}'",'https://example.com/avatar13.png','Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium.','https://alexandergarcia.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": false}'",1,'2024-03-13 20:00:00',true,13
14,'Charlotte','Rodriguez','charlotter',"'{""email"": ""charlotte@example.com"", ""phone"": ""+5566778899""}'",2,'password_hash_14',"'{""facebook"": ""https://www.facebook.com/charlotterodriguez"", ""instagram"": ""https://www.instagram.com/charlotterodriguez""}'",'https://example.com/avatar14.png','Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit.','https://charlotterodriguez.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": true}'",2,'2024-03-14 21:00:00',true,14
15,'Mia','Lopez','mial',"'{""email"": ""mia@example.com"", ""phone"": ""+9988776655""}'",3,'password_hash_15',"'{""twitter"": ""https://twitter.com/mial"", ""linkedin"": ""https://www.linkedin.com/in/mialopez""}'",'https://example.com/avatar15.png',"'Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam.'",'https://mialopez.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": false, ""sms"": true}'",3,'2024-03-15 22:00:00',true,15
16,'Benjamin','Gonzalez','benjaming',"'{""email"": ""benjamin@example.com"", ""phone"": ""+2233445566""}'",1,'password_hash_16',"'{""facebook"": ""https://www.facebook.com/benjamingonzalez"", ""instagram"": ""https://www.instagram.com/benjamingonzalez""}'",'https://example.com/avatar16.png','Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur.','https://benjamingonzalez.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": false}'",1,'2024-03-16 23:00:00',true,16
17,'Evelyn','Perez','evelynp',"'{""email"": ""evelyn@example.com"", ""phone"": ""+3344556677""}'",2,'password_hash_17',"'{""twitter"": ""https://twitter.com/evelynp"", ""linkedin"": ""https://www.linkedin.com/in/evelynperez""}'",'https://example.com/avatar17.png','Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.','https://evelynperez.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": true}'",2,'2024-03-17 00:00:00',true,17
18,'Liam','Torres','liamt',"'{""email"": ""liam@example.com"", ""phone"": ""+5566778899""}'",3,'password_hash_18',"'{""facebook"": ""https://www.facebook.com/liamtorres"", ""instagram"": ""https://www.instagram.com/liamtorres""}'",'https://example.com/avatar18.png',"'Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.'",'https://liamtorres.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": false, ""sms"": true}'",3,'2024-03-18 01:00:00',true,18
19,'Ava','Perez','avap',"'{""email"": ""ava@example.com"", ""phone"": ""+9988776655""}'",1,'password_hash_19',"'{""twitter"": ""https://twitter.com/avap"", ""linkedin"": ""https://www.linkedin.com/in/avaperez""}'",'https://example.com/avatar19.png','Sunt in culpa qui officia deserunt mollit anim id est laborum.','https://avaperez.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": false}'",1,'2024-03-19 02:00:00',true,19
20,'William','Garcia','williamg',"'{""email"": ""william@example.com"", ""phone"": ""+2233445566""}'",2,'password_hash_20',"'{""facebook"": ""https://www.facebook.com/williamgarcia"", ""instagram"": ""https://www.instagram.com/williamgarcia""}'",'https://example.com/avatar20.png',"'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.'",'https://williamgarcia.com','2024-04-03 12:25:02.677375','2024-04-03 12:25:02.677375',"'{""email"": true, ""sms"": true}'",2,'2024-03-20 03:00:00',true,20
