1,17,'3042 Leonard Rest','West Ryan','Delaware','Uganda','17572',false,'Shipping',29.02328450,87.25862900,'3173587540','Leah Phillips','White and Sons','Apartment 269',"'George, Young and Lewis'",'7 Floor',NULL,'Leave at front door','Commercial','2015-10-14 11:33:29.9076','2020-11-06 23:01:17.903716'
2,53,'12777 Isaiah Manors Apt. 607','Francisland','Utah','Qatar','62362',false,'Shipping',-52.44743600,-145.98990900,'221-985-7512','Ian Thomas','Smith-Thomas','Unit 502',"'Hayes, Gonzales and Weaver'",'5 Floor',NULL,'Leave at front door','Residential','2022-08-02 00:01:21.204787','2023-11-26 17:28:42.01983'
3,14,'6958 Jones Lane Suite 778','Franciscoview','Wyoming','Holy See (Vatican City State)','97548',true,'Work',-37.79499400,-1.54399800,'6618884911','Jesse Hunter','Harrison Group','Suite 99',"'Valdez, Howell and Rodriguez'",'2 Floor',NULL,'Leave with neighbor','Commercial','2021-09-12 11:55:12.715437','2022-11-18 10:03:43.263369'
4,98,'34028 Jeremy Ranch','New Hannahview','Pennsylvania','Hong Kong','25842',true,'Work',3.02515450,130.97407400,'5003137264','Kelly Hampton','Farrell LLC','Suite 45','Cox Group','11 Floor','Gate3A','Call upon arrival','Residential','2021-04-11 01:45:14.817205','2021-07-23 10:03:50.981484'
5,14,'9122 Mcbride Trafficway Apt. 884','New Ronaldside','South Dakota','Central African Republic','48877',false,'Work',-27.03875050,-6.16694000,'8804267275','Dawn Jimenez DDS',"'Mora, Warren and Wells'",'Apartment 173',"'Abbott, Romero and Parker'",'2 Floor',NULL,'Do not leave unattended','Commercial','2017-11-20 07:33:44.608637','2020-05-31 01:40:49.011157'
6,85,'9094 Johnson Viaduct','South Patrickmouth','Iowa','France','50848',false,'Shipping',29.96393950,-84.51031500,'912-267-7398','Kevin Ramos','Moore-Silva','Unit 356','Johnson LLC','15 Floor','Gate1A','Call upon arrival','Residential','2019-10-31 05:15:05.350654','2020-04-29 23:42:20.342225'
7,87,'093 Carson Pass','Lauraside','West Virginia','Christmas Island','19632',false,'Shipping',-74.29975700,-122.86629900,'7745670273','Emily Deleon','Davis PLC','Unit 352','Brown Ltd','16 Floor','Gate4B',NULL,'Commercial','2023-04-12 23:53:23.866719','2023-10-07 08:52:19.11401'
8,3,'4296 Trevino Inlet','Finleytown','Rhode Island','Paraguay','29313',true,'Home',-72.56643800,-42.17223000,'(544)897-2160','Jerome Wright','Yates-Douglas','Unit 290','Terry Inc','2 Floor','Gate1C','Do not leave unattended','Residential','2022-10-19 05:26:28.253176','2023-01-25 14:19:19.89168'
9,60,'99085 White Inlet','Lake Gloriamouth','Maryland','Nigeria','47182',true,'Billing',-23.67820450,96.41636100,'9039361226','Jennifer Rodriguez','Mcguire and Sons','Apartment 602','Christensen-Torres','10 Floor','Gate4B','Call upon arrival','Residential','2019-10-10 18:36:45.285167','2021-12-12 14:35:19.388512'
10,67,'39188 Jennifer Creek','Yatesburgh','Wyoming','Timor-Leste','41419',false,'Home',57.62641750,155.83597700,'361-207-6064','Brandon White',"'Frye, Evans and Case'",'Apartment 801',"'Cook, Nelson and Gregory'",'3 Floor',NULL,'Leave at front door','Commercial','2019-07-26 02:14:03.192291','2020-04-26 11:35:02.691499'
11,51,'69568 Amy Junction','West Debraburgh','Mississippi','Kazakhstan','11641',true,'Billing',-34.81719250,-80.87932500,'734-226-7274','Cody Hatfield','Montgomery Ltd','Apartment 673','Vang-Frazier','20 Floor',NULL,'Call upon arrival','Commercial','2019-10-03 19:58:38.976848','2020-05-05 14:53:52.63818'
12,100,'7619 Butler Rest Apt. 846','Beardville','Wisconsin','Poland','54125',false,'Billing',6.08486600,-106.56886100,'(460)318-0504','Maria Gomez','Gonzales Ltd','Apartment 41','Martin PLC','6 Floor',NULL,'Leave at frontdesk','Commercial','2020-07-31 06:41:29.992116','2021-03-04 22:57:07.664425'
13,1,'58598 Tonya Via','New Erin','Missouri','Tunisia','84626',false,'Home',-75.59371800,-125.02213000,'3692938503','Jennifer Allen',"'Arroyo, Acosta and Steele'",'Unit 133',"'Martinez, Stevens and Cole'",'12 Floor',NULL,'Leave at front door','Commercial','2015-03-28 05:50:47.650059','2019-10-22 02:58:26.597217'
14,69,'24105 Robert Stream','Robertbury','Rhode Island','Netherlands','92976',false,'Billing',1.96162250,-67.88502800,'354-672-7874','Joseph Phillips','Lee PLC','Apartment 353','Aguilar Ltd','7 Floor','Gate3D','Leave at frontdesk','Commercial','2017-04-07 16:27:58.069298','2019-09-20 11:12:29.933229'
15,9,'943 Rangel Shoals','Christophershire','Wyoming','Costa Rica','87317',false,'Billing',-49.85275900,-151.35071900,'268-906-1526','Melissa Evans',"'Johnson, Greene and Moore'",'Unit 727','Stewart-Marquez','7 Floor','Gate2A','Leave at frontdesk','Residential','2021-06-14 05:24:43.551224','2022-08-14 13:41:48.678488'
16,38,'079 Duarte Way Apt. 923','South Gregory','Massachusetts','Bangladesh','27429',false,'Shipping',-56.03113700,-41.39211000,'5769872885','Becky Boyd','Acevedo Inc','Unit 204','Carlson-Brooks','15 Floor',NULL,NULL,'Residential','2016-07-26 10:07:29.663979','2016-08-25 01:16:53.342791'
17,48,'7569 Linda Tunnel Suite 289','Riddleside','Rhode Island','Nauru','37320',false,'Billing',74.84706450,-62.22092200,'(273)484-7725','Natalie Moss','Snyder-Smith','Apartment 369','Parks-Vega','17 Floor',NULL,'Leave at front door','Commercial','2019-01-13 00:48:49.234263','2021-09-26 17:12:49.034023'
18,11,'6733 Jason Loop Apt. 986','South Derrick','Arkansas','Antigua and Barbuda','75943',true,'Work',57.23574650,-36.05176000,'467-634-7919','Anne Brooks',"'Vaughn, Roy and Matthews'",'Apartment 145','Henderson-Haynes','7 Floor',NULL,NULL,'Commercial','2015-08-14 06:01:05.474627','2023-05-17 11:37:38.463456'
19,96,'9937 Catherine Bridge Suite 024','Kingshire','Alaska','North Macedonia','50597',true,'Work',-55.60551700,37.26142500,'446-561-3476','Phillip Adams','Galvan LLC','Suite 934',"'Torres, Garcia and Morris'",'19 Floor','Gate1B','Leave with neighbor','Residential','2022-03-21 20:11:27.257787','2023-04-12 05:30:18.873215'
20,38,'70815 Reyes Terrace Apt. 559','Lake Joshuaberg','Texas','Malawi','99676',true,'Billing',10.96799100,20.79517200,'(644)227-1774','Anthony Christian','Johnson-Marks','Unit 810','Howard-Gonzalez','20 Floor',NULL,'Call upon arrival','Commercial','2018-06-15 20:29:59.899597','2018-10-27 18:15:03.173848'
21,57,'80470 Hector Route','Port Thomas','Arizona','Lebanon','01717',true,'Shipping',-9.17568100,74.91525600,'(663)885-3928','Teresa Duncan','Marks-Miller','Apartment 177','Scott-Ramirez','6 Floor','Gate4A','Leave at frontdesk','Residential','2014-04-21 16:46:50.52864','2017-03-08 23:22:29.562677'
22,68,'84987 John Forks','South Michaelton','Delaware','Moldova','45935',true,'Work',-13.33362050,-36.39779900,'(571)632-3382','Mary Jordan','Braun-Dixon','Apartment 808','Johnson Group','14 Floor',NULL,'Leave with neighbor','Residential','2022-12-28 01:07:57.988368','2023-04-30 10:55:48.825521'
23,48,'929 Allen View','Ashleymouth','Maine','France','16223',false,'Home',-86.75267150,-84.63127500,'(728)945-5436','Kevin Williams','Garcia-Thomas','Unit 52',"'Cunningham, Johnson and Gamble'",'4 Floor',NULL,'Leave with neighbor','Commercial','2015-04-29 08:09:32.332542','2019-07-21 00:15:11.381443'
24,85,'763 Garcia Park Suite 645','Lake Robertport','Arizona','Bouvet Island (Bouvetoya)','02016',true,'Billing',83.26262150,30.69231300,'6499044667','Katherine Edwards','Haney-Hill','Unit 273','Erickson-Garcia','15 Floor',NULL,'Leave at frontdesk','Commercial','2022-07-24 20:36:28.733742','2022-09-11 17:52:32.506722'
25,38,'86091 Simpson Circles','North Michelle','Hawaii','Senegal','35652',false,'Billing',-14.56817850,154.86294400,'(306)536-8351','Angela Stevenson','Stanley PLC','Suite 140','Jones-Leon','9 Floor','Gate3C','Leave at frontdesk','Commercial','2021-08-15 01:54:14.312263','2023-08-19 16:05:40.195391'
26,46,'61097 Burton Spring Suite 871','New Margaretmouth','Utah','Burkina Faso','25688',false,'Shipping',-13.76404300,-96.61966100,'2843831258','John Scott',"'Jackson, Young and Wagner'",'Suite 42','Travis-Alexander','15 Floor',NULL,'Call upon arrival','Commercial','2016-02-01 23:23:18.111742','2023-09-16 17:31:21.163059'
27,77,'19415 Robert Club Suite 048','North Lindsey','Michigan','Libyan Arab Jamahiriya','00695',false,'Shipping',75.26416850,-85.43820700,'401-259-6485','Amy Jackson',"'Lewis, Stein and Holmes'",'Unit 44',"'West, Carney and Wise'",'17 Floor',NULL,'Leave with neighbor','Residential','2021-03-22 20:16:04.606846','2023-10-23 06:13:08.628367'
28,49,'0080 Mark Way Apt. 708','Lake Gregory','North Carolina','Croatia','52634',true,'Shipping',-27.36376550,-156.36635100,'(991)488-3093','Ashley Skinner',"'Gibson, Williams and Howard'",'Unit 6','Matthews-Jordan','3 Floor',NULL,'Leave with neighbor','Commercial','2022-09-12 17:26:45.640933','2023-11-13 20:14:04.607804'
29,27,'664 Gabriel Common','East Kevinport','West Virginia','Latvia','85294',false,'Shipping',-6.61799650,4.13313800,'(399)612-9631','Leah Johnson',"'Hawkins, Barnett and Scott'",'Unit 652','Jones PLC','15 Floor',NULL,'Leave at front door','Commercial','2014-04-02 07:55:32.692595','2020-07-12 20:08:15.152162'
30,58,'57127 Richard Expressway Apt. 814','Patrickborough','Virginia','Ghana','50477',true,'Home',-34.88080900,105.04939400,'586-623-1922','Danny Hahn','Thomas Inc','Unit 545',"'Orozco, Reynolds and Johnson'",'19 Floor','Gate1A',NULL,'Residential','2017-02-21 23:33:07.181215','2024-01-19 12:45:48.74693'
31,93,'72416 Bennett Stream Suite 520','New Erichaven','Alaska','Cote d''Ivoire','65115',true,'Shipping',-65.18742000,-61.69590100,'7439968085','Lisa Barnes','Wallace LLC','Apartment 104',"'Murphy, Moyer and Levy'",'2 Floor','Gate3C','Leave at frontdesk','Commercial','2014-10-29 05:58:27.75377','2017-09-01 14:08:11.398347'
