1,5458591,'Credit Card','1234 5678 9012 3456','2025-12-31',true,'2024-04-03 12:35:26.424514'
2,5458592,'Debit Card','9876 5432 1098 7654','2026-06-30',false,'2024-04-03 12:35:26.424514'
3,5458593,'Bank Transfer','BOFAUS3N','2024-12-31',true,'2024-04-03 12:35:26.424514'
4,5458594,'PayPal','user@example.com','2025-09-30',false,'2024-04-03 12:35:26.424514'
5,5458595,'Apple Pay','applepay@example.com','2024-12-31',true,'2024-04-03 12:35:26.424514'
6,5458596,'Google Pay','googlepay@example.com','2025-12-31',false,'2024-04-03 12:35:26.424514'
7,5458597,'Venmo','venmo@example.com','2026-03-31',true,'2024-04-03 12:35:26.424514'
8,5458598,'Cash App','cashapp@example.com','2025-06-30',false,'2024-04-03 12:35:26.424514'
9,5458599,'Stripe','stripe@example.com','2024-12-31',true,'2024-04-03 12:35:26.424514'
10,5458600,'Square','square@example.com','2025-12-31',false,'2024-04-03 12:35:26.424514'
11,5458601,'Zelle','zelle@example.com','2026-09-30',true,'2024-04-03 12:35:26.424514'
12,5458602,'Western Union','westernunion@example.com','2024-12-31',false,'2024-04-03 12:35:26.424514'
13,5458603,'MoneyGram','moneygram@example.com','2025-12-31',true,'2024-04-03 12:35:26.424514'
14,5458604,'TransferWise','transferwise@example.com','2026-06-30',false,'2024-04-03 12:35:26.424514'
15,5458605,'Alipay','alipay@example.com','2024-12-31',true,'2024-04-03 12:35:26.424514'
16,5458606,'WeChat Pay','wechatpay@example.com','2025-12-31',false,'2024-04-03 12:35:26.424514'
17,5458607,'Skrill','skrill@example.com','2026-03-31',true,'2024-04-03 12:35:26.424514'
18,5458608,'Neteller','neteller@example.com','2025-06-30',false,'2024-04-03 12:35:26.424514'
19,5458609,'Revolut','revolut@example.com','2024-12-31',true,'2024-04-03 12:35:26.424514'
20,5458610,'Cash','cash','2025-12-31',false,'2024-04-03 12:35:26.424514'
